year,Quintile 1 (poorest),Quintile 2,Quintile 3,Quintile 4,Quintile 5 (richest)
1997,21.88554764,36.70444489,50.75548935,66.60211182,89.31525421
2002,42.03519058,58.52720642,68.2322998,84.4118042,94.94664001
2007,46.51158524,68.5840683,80.06047821,88.49567413,96.02818298
2012,60.43196487,84.01262665,90.87911224,95.29376984,97.42613983
